number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
71001,48.8566,2.3522,35,2025-10-20 06:00,180,12,0.0,82,9.1,12.3,1015.2
71001,48.8566,2.3522,35,2025-10-20 12:00,200,18,0.0,65,11.2,15.6,1013.8
71001,48.8566,2.3522,35,2025-10-21 18:00,210,22,0.5,72,10.4,13.2,1014.0
72005,45.7640,4.8357,165,2025-10-20 06:00,150,8,0.0,78,8.7,11.5,1016.1
72005,45.7640,4.8357,165,2025-10-21 12:00,190,15,0.0,60,10.1,14.8,1014.9
72005,45.7640,4.8357,165,2025-10-21 18:00,220,20,2.3,70,9.8,12.4,1015.5
73010,43.6045,1.4440,150,2025-10-20 06:00,100,5,0.0,88,11.0,13.8,1017.3
73010,43.6045,1.4440,150,2025-10-21 12:00,130,10,0.0,70,12.5,17.0,1015.6
73010,43.6045,1.4440,150,2025-10-21 18:00,160,12,0.0,75,11.8,15.2,1016.0
74020,50.6292,3.0573,60,2025-10-20 06:00,170,10,1.2,90,8.2,10.0,1014.4
74020,50.6292,3.0573,60,2025-10-21 12:00,200,14,0.0,68,9.5,13.1,1013.1
74020,50.6292,3.0573,60,2025-10-21 18:00,230,17,0.0,75,9.0,11.6,1014.0
